validdate;t_2m:C;wind_dir_10m:d;wind_speed_10m:ms;mean_wave_direction:d;mean_wave_period:s;precip_1h:mm;pressure_2m:hPa;significant_wave_height:m
2020-08-05T02:00:00Z;18.2;0.7;4.2;116.5;8.4;0.00;1028;1.12
2022-09-27T10:00:00Z;17.7;221.7;2.0;91.8;7.8;0.00;1016;1.21
2020-04-24T15:00:00Z;23.4;0.7;4.4;132.8;9.4;0.00;1019;1.13
2020-05-29T15:00:00Z;20.0;337.5;6.8;156.4;10.4;0.00;1019;1.66
2020-07-12T06:00:00Z;16.3;319.7;3.6;128.0;9.7;0.00;1012;1.44
2020-10-03T23:00:00Z;17.3;142.6;7.8;150.2;8.1;0.34;1023;2.78
2021-04-14T19:00:00Z;23.8;59.9;2.2;145.5;10.5;0.00;1019;1.95
2021-03-11T02:00:00Z;22.5;207.8;3.7;149.5;8.6;0.00;1010;1.72
2021-12-28T17:00:00Z;26.3;57.7;3.3;103.7;7.1;0.00;1011;0.81
2022-07-24T18:00:00Z;19.1;12.6;6.2;108.7;8.4;0.00;1017;1.23
2020-09-25T01:00:00Z;18.9;345.2;3.2;85.4;6.9;0.00;1020;1.06
2021-12-17T05:00:00Z;23.2;183.7;5.2;127.9;6.6;0.00;1010;1.45
2022-07-23T18:00:00Z;19.0;87.9;2.2;109.9;10.1;0.00;1016;1.14
2020-09-25T22:00:00Z;19.1;31.5;3.5;80.2;7.1;0.00;1015;1.05
2020-05-20T21:00:00Z;21.1;20.2;4.1;112.4;7.8;0.00;1020;1.38
2020-11-12T04:00:00Z;21.9;34.5;4.9;93.2;6.9;0.00;1012;1.36
2022-07-16T04:00:00Z;19.0;342.9;3.5;99.4;9.3;0.00;1010;1.87
2020-03-29T06:00:00Z;23.2;343.8;4.0;107.7;6.9;0.00;1016;1.16
2020-09-01T02:00:00Z;16.5;182.9;5.7;149.6;8.0;0.00;1028;1.71
2020-10-11T22:00:00Z;19.8;37.3;5.0;122.3;6.2;0.00;1018;0.94
2020-03-28T22:00:00Z;24.5;33.1;4.1;127.5;7.6;0.00;1015;1.09
2020-12-07T02:00:00Z;21.1;85.6;7.3;101.6;7.1;0.00;1018;2.53
2022-12-01T19:00:00Z;24.3;42.4;3.6;78.0;8.3;0.00;1007;2.39
2020-03-17T09:00:00Z;23.1;187.3;4.8;165.5;8.2;0.00;1013;1.42
2022-01-22T00:00:00Z;26.2;29.4;5.8;94.0;6.3;0.00;1014;1.19
2022-09-02T21:00:00Z;19.9;337.7;4.8;67.6;7.5;0.13;1014;1.36
2022-09-06T01:00:00Z;18.0;44.9;2.7;141.7;8.4;0.57;1028;1.33
2020-08-04T14:00:00Z;19.6;336.3;4.7;114.7;8.8;0.00;1029;0.98
2021-04-24T03:00:00Z;20.5;90.8;1.3;105.3;10.0;0.00;1017;2.53
2021-09-05T18:00:00Z;19.9;21.8;4.2;119.4;8.2;0.00;1011;1.43
2020-05-14T12:00:00Z;18.6;196.7;9.0;176.6;6.4;0.00;1018;2.22
2020-04-19T02:00:00Z;20.5;170.8;2.0;157.6;8.3;0.00;1024;1.12
2020-09-10T18:00:00Z;20.2;167.3;8.0;114.9;7.8;0.00;1015;1.81
2022-07-24T04:00:00Z;17.3;352.7;4.1;129.4;10.2;0.00;1018;1.25
2022-12-30T05:00:00Z;22.2;181.6;3.5;126.8;6.5;0.00;1015;1.18
2020-10-14T15:00:00Z;20.7;123.2;3.9;95.6;7.9;0.00;1014;1.27
2022-11-14T10:00:00Z;21.9;17.9;5.5;82.5;6.4;0.34;1008;1.54
2021-06-30T21:00:00Z;16.4;185.0;5.0;179.1;9.1;0.00;1025;2.14
2021-02-26T08:00:00Z;23.8;158.3;3.0;158.9;8.4;0.00;1014;1.27
2021-03-12T10:00:00Z;21.9;242.8;1.9;154.1;8.2;0.00;1014;1.22
2021-05-17T14:00:00Z;21.3;309.3;2.6;135.4;10.7;0.00;1016;1.05
2020-11-25T03:00:00Z;23.0;10.5;6.8;62.5;5.3;0.00;1018;1.26
2021-10-31T12:00:00Z;21.2;52.7;4.9;81.5;6.9;0.00;1020;1.88
2021-04-10T17:00:00Z;26.5;10.7;5.9;70.4;6.1;0.00;1012;1.12
2022-03-28T19:00:00Z;25.1;93.8;3.1;129.6;10.2;0.00;1016;1.30
2021-02-18T09:00:00Z;23.0;271.2;2.6;122.4;7.9;0.00;1006;0.91
2021-07-25T14:00:00Z;18.6;356.6;5.4;63.4;6.3;0.00;1018;1.20
2020-11-13T19:00:00Z;23.3;159.7;4.1;110.2;7.8;0.00;1010;1.33
2021-08-09T11:00:00Z;16.8;347.7;5.5;69.2;6.7;0.00;1020;1.28
2022-02-22T22:00:00Z;26.0;159.7;1.8;92.2;7.0;0.70;1012;0.89
2020-07-04T09:00:00Z;12.9;302.9;2.8;171.3;10.2;0.00;1019;1.60
2022-05-16T00:00:00Z;20.0;198.8;7.0;152.8;10.3;0.00;1011;2.38
2022-06-25T01:00:00Z;17.4;221.2;2.5;165.3;9.9;0.00;1019;1.36
2021-07-05T18:00:00Z;18.5;19.1;4.3;100.2;7.8;0.00;1024;0.76
2020-03-02T18:00:00Z;23.3;136.5;5.4;118.4;7.6;0.00;1020;1.85
2022-11-24T05:00:00Z;20.9;196.0;5.2;103.5;6.8;0.00;1012;1.62
2020-02-02T06:00:00Z;23.9;204.1;1.2;134.0;6.1;0.00;1013;1.07
2020-04-02T12:00:00Z;25.0;333.2;6.8;87.9;6.4;0.00;1011;1.60
2022-07-07T02:00:00Z;19.0;350.8;5.9;127.3;10.3;0.00;1014;1.56
2020-11-21T08:00:00Z;18.5;186.2;3.9;166.7;8.2;0.00;1015;1.31
2021-04-15T06:00:00Z;22.8;12.7;2.8;142.1;9.7;0.00;1018;1.58
2020-12-04T19:00:00Z;24.7;123.6;3.5;127.8;7.2;0.00;1014;1.09
2020-09-27T17:00:00Z;22.2;342.9;3.3;89.1;7.2;3.94;1007;1.09
2021-02-07T20:00:00Z;25.1;163.3;5.1;160.3;8.9;0.00;1013;1.62
2021-12-21T07:00:00Z;24.3;351.8;5.9;58.8;5.9;0.00;1009;1.36
2021-08-29T23:00:00Z;17.6;108.6;2.2;90.6;7.7;0.00;1026;1.59
2022-03-05T02:00:00Z;24.3;298.7;1.4;157.8;9.8;0.00;1014;1.21
2022-06-09T06:00:00Z;17.2;234.2;1.9;117.4;7.2;0.00;1017;1.08
2022-04-05T13:00:00Z;23.7;195.1;5.3;148.0;6.0;0.00;1017;1.35
2020-03-11T03:00:00Z;23.4;46.9;1.9;111.0;8.9;0.00;1016;1.15
2021-09-22T11:00:00Z;16.7;200.8;6.4;168.4;8.6;0.00;1022;2.64
2022-04-09T16:00:00Z;23.0;142.4;4.5;117.2;7.7;0.00;1012;1.07
2022-09-18T02:00:00Z;16.8;99.6;2.6;123.8;10.8;0.00;1024;2.62
2020-06-14T18:00:00Z;15.5;174.5;7.1;176.3;7.9;0.00;1027;2.04
2021-12-05T00:00:00Z;23.3;38.0;5.4;107.7;6.9;0.00;1018;1.32
2021-05-08T17:00:00Z;20.3;160.7;4.0;174.7;10.2;0.00;1026;1.99
2022-10-31T10:00:00Z;22.4;182.8;7.1;102.6;8.2;0.00;1008;0.88
2022-05-23T17:00:00Z;21.0;10.0;3.1;153.0;11.5;0.00;1020;1.30
2021-07-26T06:00:00Z;18.7;355.0;5.5;65.1;6.7;0.00;1014;1.28
2022-06-08T10:00:00Z;17.8;189.5;5.6;144.1;6.1;0.00;1016;1.29
2020-07-28T17:00:00Z;17.0;177.5;11.3;153.9;5.4;0.00;1015;1.62
2022-06-02T23:00:00Z;15.7;200.2;8.6;175.0;7.0;0.00;1018;2.27
2022-06-19T10:00:00Z;12.5;250.3;2.2;179.8;8.8;0.00;1023;1.32
2022-04-30T17:00:00Z;21.6;15.4;3.0;162.6;9.5;0.00;1018;1.52
2022-12-02T05:00:00Z;22.4;0.7;3.1;79.5;8.3;0.00;1009;2.13
2020-05-27T12:00:00Z;16.3;204.3;5.0;181.4;10.6;0.00;1018;2.77
2021-05-15T21:00:00Z;19.8;23.7;2.5;163.5;8.8;0.00;1019;0.80
2020-12-24T14:00:00Z;25.2;40.4;3.6;135.0;8.5;0.00;1016;1.45
2021-11-03T06:00:00Z;20.7;20.2;4.4;87.8;8.3;0.00;1012;1.59
2020-09-21T18:00:00Z;16.7;157.9;6.1;178.9;12.0;0.00;1021;2.39
2020-05-05T01:00:00Z;21.3;352.5;5.3;135.5;10.2;0.00;1013;1.96
2021-06-04T18:00:00Z;21.7;6.5;6.5;169.6;10.0;0.00;1018;1.39
2020-04-13T03:00:00Z;20.1;352.6;2.1;138.4;10.9;0.00;1018;1.93
2021-01-21T01:00:00Z;23.2;150.6;4.2;128.0;6.3;0.00;1017;1.61
2021-11-02T03:00:00Z;20.6;66.8;2.1;85.1;7.6;0.00;1016;1.73
2021-04-03T06:00:00Z;22.4;171.2;2.0;132.4;8.6;0.00;1017;1.97
2021-07-25T17:00:00Z;18.9;9.3;5.3;65.6;6.4;0.00;1015;1.20
2020-06-04T14:00:00Z;18.7;202.9;2.7;149.4;10.7;0.00;1026;1.37
2021-09-21T08:00:00Z;20.0;258.1;2.0;79.6;7.1;0.00;1010;1.42
2021-06-05T09:00:00Z;20.8;342.8;5.2;128.3;9.0;0.00;1018;1.37
2021-10-07T22:00:00Z;18.3;179.2;7.2;170.5;7.4;0.00;1019;2.12
2021-03-04T02:00:00Z;25.3;334.0;2.3;86.9;7.0;0.05;1013;1.14
2021-07-03T05:00:00Z;14.9;273.4;2.0;115.6;8.6;0.00;1022;1.33
2021-01-05T22:00:00Z;25.5;33.5;3.8;100.9;6.4;1.14;1009;1.08
2021-01-13T11:00:00Z;24.5;182.5;8.0;135.0;5.3;0.00;1015;1.48
2022-05-22T23:00:00Z;18.4;8.6;2.7;163.3;9.0;0.00;1021;0.95
2021-02-23T14:00:00Z;27.9;348.2;5.4;55.3;6.1;0.00;1011;1.13
2020-01-09T03:00:00Z;24.8;4.5;2.5;117.4;7.5;0.00;1011;1.01
2022-09-06T03:00:00Z;17.9;56.2;3.6;138.9;8.1;0.73;1028;1.30
2022-09-23T14:00:00Z;17.5;249.7;1.3;183.0;8.5;0.00;1015;1.67
2021-11-27T23:00:00Z;22.7;186.5;4.8;131.1;6.5;0.00;1005;1.48
2020-02-29T05:00:00Z;22.6;343.4;2.1;157.0;7.9;0.00;1018;0.92
2020-11-01T14:00:00Z;19.8;171.7;6.1;131.7;7.2;0.00;1020;1.75
2020-11-18T23:00:00Z;19.7;167.3;3.3;146.2;6.7;0.99;1013;1.07
2020-10-30T20:00:00Z;20.2;176.7;9.0;147.9;6.7;0.00;1020;2.03
2022-02-19T19:00:00Z;25.6;73.9;4.1;150.1;8.9;0.00;1008;1.16
2022-05-24T04:00:00Z;18.2;294.7;2.1;148.1;11.0;0.00;1020;1.29
2021-08-01T11:00:00Z;15.0;293.9;1.2;147.0;11.3;0.00;1031;1.80
