midnight,midnightUTCOffset,dawn,dawnUTCOffset,sunrise,sunriseUTCOffset,sunset,sunsetUTCOffset,dusk,duskUTCOffset
2020-01-17 00:00:00-03:00,-3,2020-01-17 05:08:52-03:00,-3,2020-01-17 05:34:44-03:00,-3,2020-01-17 19:14:24-03:00,-3,2020-01-17 19:40:16-03:00,-3
2020-01-18 00:00:00-03:00,-3,2020-01-18 05:09:44-03:00,-3,2020-01-18 05:35:33-03:00,-3,2020-01-18 19:14:15-03:00,-3,2020-01-18 19:40:04-03:00,-3
2020-01-19 00:00:00-03:00,-3,2020-01-19 05:10:37-03:00,-3,2020-01-19 05:36:22-03:00,-3,2020-01-19 19:14:04-03:00,-3,2020-01-19 19:39:50-03:00,-3
2020-01-20 00:00:00-03:00,-3,2020-01-20 05:11:30-03:00,-3,2020-01-20 05:37:12-03:00,-3,2020-01-20 19:13:52-03:00,-3,2020-01-20 19:39:34-03:00,-3
2020-01-21 00:00:00-03:00,-3,2020-01-21 05:12:23-03:00,-3,2020-01-21 05:38:02-03:00,-3,2020-01-21 19:13:38-03:00,-3,2020-01-21 19:39:18-03:00,-3
2020-01-22 00:00:00-03:00,-3,2020-01-22 05:13:16-03:00,-3,2020-01-22 05:38:52-03:00,-3,2020-01-22 19:13:23-03:00,-3,2020-01-22 19:38:59-03:00,-3
2020-01-23 00:00:00-03:00,-3,2020-01-23 05:14:09-03:00,-3,2020-01-23 05:39:42-03:00,-3,2020-01-23 19:13:06-03:00,-3,2020-01-23 19:38:39-03:00,-3
2020-01-24 00:00:00-03:00,-3,2020-01-24 05:15:02-03:00,-3,2020-01-24 05:40:32-03:00,-3,2020-01-24 19:12:48-03:00,-3,2020-01-24 19:38:18-03:00,-3
2020-01-25 00:00:00-03:00,-3,2020-01-25 05:15:55-03:00,-3,2020-01-25 05:41:22-03:00,-3,2020-01-25 19:12:28-03:00,-3,2020-01-25 19:37:55-03:00,-3
2020-01-26 00:00:00-03:00,-3,2020-01-26 05:16:49-03:00,-3,2020-01-26 05:42:12-03:00,-3,2020-01-26 19:12:07-03:00,-3,2020-01-26 19:37:30-03:00,-3
2020-01-27 00:00:00-03:00,-3,2020-01-27 05:17:42-03:00,-3,2020-01-27 05:43:01-03:00,-3,2020-01-27 19:11:44-03:00,-3,2020-01-27 19:37:04-03:00,-3
2020-01-28 00:00:00-03:00,-3,2020-01-28 05:18:35-03:00,-3,2020-01-28 05:43:51-03:00,-3,2020-01-28 19:11:20-03:00,-3,2020-01-28 19:36:37-03:00,-3
2020-01-29 00:00:00-03:00,-3,2020-01-29 05:19:28-03:00,-3,2020-01-29 05:44:41-03:00,-3,2020-01-29 19:10:55-03:00,-3,2020-01-29 19:36:08-03:00,-3
2020-01-30 00:00:00-03:00,-3,2020-01-30 05:20:21-03:00,-3,2020-01-30 05:45:30-03:00,-3,2020-01-30 19:10:28-03:00,-3,2020-01-30 19:35:37-03:00,-3
2020-01-31 00:00:00-03:00,-3,2020-01-31 05:21:13-03:00,-3,2020-01-31 05:46:19-03:00,-3,2020-01-31 19:10:00-03:00,-3,2020-01-31 19:35:06-03:00,-3
2020-02-01 00:00:00-03:00,-3,2020-02-01 05:22:06-03:00,-3,2020-02-01 05:47:09-03:00,-3,2020-02-01 19:09:30-03:00,-3,2020-02-01 19:34:32-03:00,-3
2020-01-01 00:00:00-03:00,-3,2020-01-01 04:56:10-03:00,-3,2020-01-01 05:22:38-03:00,-3,2020-01-01 19:13:25-03:00,-3,2020-01-01 19:39:53-03:00,-3
2020-01-02 00:00:00-03:00,-3,2020-01-02 04:56:52-03:00,-3,2020-01-02 05:23:18-03:00,-3,2020-01-02 19:13:40-03:00,-3,2020-01-02 19:40:06-03:00,-3
2020-01-03 00:00:00-03:00,-3,2020-01-03 04:57:34-03:00,-3,2020-01-03 05:23:59-03:00,-3,2020-01-03 19:13:53-03:00,-3,2020-01-03 19:40:18-03:00,-3
2020-01-04 00:00:00-03:00,-3,2020-01-04 04:58:18-03:00,-3,2020-01-04 05:24:41-03:00,-3,2020-01-04 19:14:05-03:00,-3,2020-01-04 19:40:28-03:00,-3
2020-01-05 00:00:00-03:00,-3,2020-01-05 04:59:03-03:00,-3,2020-01-05 05:25:24-03:00,-3,2020-01-05 19:14:16-03:00,-3,2020-01-05 19:40:37-03:00,-3
2020-01-06 00:00:00-03:00,-3,2020-01-06 04:59:48-03:00,-3,2020-01-06 05:26:07-03:00,-3,2020-01-06 19:14:25-03:00,-3,2020-01-06 19:40:44-03:00,-3
2020-01-07 00:00:00-03:00,-3,2020-01-07 05:00:34-03:00,-3,2020-01-07 05:26:52-03:00,-3,2020-01-07 19:14:32-03:00,-3,2020-01-07 19:40:50-03:00,-3
2020-01-08 00:00:00-03:00,-3,2020-01-08 05:01:22-03:00,-3,2020-01-08 05:27:37-03:00,-3,2020-01-08 19:14:38-03:00,-3,2020-01-08 19:40:53-03:00,-3
2020-01-09 00:00:00-03:00,-3,2020-01-09 05:02:09-03:00,-3,2020-01-09 05:28:22-03:00,-3,2020-01-09 19:14:43-03:00,-3,2020-01-09 19:40:56-03:00,-3
2020-01-10 00:00:00-03:00,-3,2020-01-10 05:02:58-03:00,-3,2020-01-10 05:29:08-03:00,-3,2020-01-10 19:14:46-03:00,-3,2020-01-10 19:40:56-03:00,-3
2020-01-11 00:00:00-03:00,-3,2020-01-11 05:03:47-03:00,-3,2020-01-11 05:29:55-03:00,-3,2020-01-11 19:14:47-03:00,-3,2020-01-11 19:40:55-03:00,-3
2020-01-12 00:00:00-03:00,-3,2020-01-12 05:04:37-03:00,-3,2020-01-12 05:30:42-03:00,-3,2020-01-12 19:14:47-03:00,-3,2020-01-12 19:40:53-03:00,-3
2020-01-13 00:00:00-03:00,-3,2020-01-13 05:05:27-03:00,-3,2020-01-13 05:31:30-03:00,-3,2020-01-13 19:14:46-03:00,-3,2020-01-13 19:40:49-03:00,-3
2020-01-14 00:00:00-03:00,-3,2020-01-14 05:06:17-03:00,-3,2020-01-14 05:32:18-03:00,-3,2020-01-14 19:14:43-03:00,-3,2020-01-14 19:40:43-03:00,-3
2020-01-15 00:00:00-03:00,-3,2020-01-15 05:07:09-03:00,-3,2020-01-15 05:33:06-03:00,-3,2020-01-15 19:14:38-03:00,-3,2020-01-15 19:40:35-03:00,-3
2020-01-16 00:00:00-03:00,-3,2020-01-16 05:08:00-03:00,-3,2020-01-16 05:33:55-03:00,-3,2020-01-16 19:14:32-03:00,-3,2020-01-16 19:40:26-03:00,-3
2020-02-02 00:00:00-03:00,-3,2020-02-02 05:22:58-03:00,-3,2020-02-02 05:47:57-03:00,-3,2020-02-02 19:08:59-03:00,-3,2020-02-02 19:33:58-03:00,-3
2020-02-03 00:00:00-03:00,-3,2020-02-03 05:23:50-03:00,-3,2020-02-03 05:48:46-03:00,-3,2020-02-03 19:08:26-03:00,-3,2020-02-03 19:33:22-03:00,-3
