validdate,t_2m:C,wind_dir_10m:d,wind_speed_10m:ms,mean_wave_direction:d,mean_wave_period:s,precip_1h:mm,pressure_2m:hPa,significant_wave_height:m,datetime_sp,datetime_sp_naive
2019-12-31 23:00:00+00:00,25.2,20.2,5.9,63.5,6.0,0.0,1007,1.33,2019-12-31 20:00:00-03:00,2019-12-31 20:00:00
2020-01-01 00:00:00+00:00,25.2,17.2,6.4,64.0,6.0,0.07,1008,1.31,2019-12-31 21:00:00-03:00,2019-12-31 21:00:00
2020-01-01 01:00:00+00:00,25.3,7.6,5.9,64.2,6.0,0.25,1008,1.31,2019-12-31 22:00:00-03:00,2019-12-31 22:00:00
2020-01-01 02:00:00+00:00,25.2,4.5,6.1,64.4,6.0,0.05,1008,1.3,2019-12-31 23:00:00-03:00,2019-12-31 23:00:00
2020-01-01 03:00:00+00:00,25.2,2.6,6.2,64.6,6.0,0.11,1008,1.3,2020-01-01 00:00:00-03:00,2020-01-01 00:00:00
2020-01-01 04:00:00+00:00,25.1,4.9,6.4,64.4,6.0,0.0,1007,1.29,2020-01-01 01:00:00-03:00,2020-01-01 01:00:00
2020-01-01 05:00:00+00:00,25.1,3.3,6.3,64.2,5.9,0.0,1006,1.29,2020-01-01 02:00:00-03:00,2020-01-01 02:00:00
2020-01-01 06:00:00+00:00,25.1,356.7,5.8,63.9,5.9,0.05,1006,1.29,2020-01-01 03:00:00-03:00,2020-01-01 03:00:00
2020-01-01 07:00:00+00:00,25.2,342.6,5.2,64.7,6.0,0.27,1005,1.27,2020-01-01 04:00:00-03:00,2020-01-01 04:00:00
2020-01-01 08:00:00+00:00,25.1,341.8,4.8,65.5,6.0,0.11,1005,1.25,2020-01-01 05:00:00-03:00,2020-01-01 05:00:00
2020-01-01 09:00:00+00:00,25.1,343.0,4.7,66.3,6.1,0.0,1005,1.23,2020-01-01 06:00:00-03:00,2020-01-01 06:00:00
2020-01-01 10:00:00+00:00,25.5,340.4,5.1,66.7,6.1,0.0,1006,1.22,2020-01-01 07:00:00-03:00,2020-01-01 07:00:00
2020-01-01 11:00:00+00:00,26.0,349.1,5.4,67.2,6.1,0.0,1006,1.2,2020-01-01 08:00:00-03:00,2020-01-01 08:00:00
2020-01-01 12:00:00+00:00,26.4,354.1,5.8,67.7,6.1,0.0,1005,1.19,2020-01-01 09:00:00-03:00,2020-01-01 09:00:00
2020-01-01 13:00:00+00:00,27.1,355.7,4.6,69.1,6.2,0.0,1005,1.18,2020-01-01 10:00:00-03:00,2020-01-01 10:00:00
2020-01-01 14:00:00+00:00,27.9,9.9,4.1,70.5,6.3,0.0,1005,1.17,2020-01-01 11:00:00-03:00,2020-01-01 11:00:00
